,0,1
0,600031,三一重工
1,2415,海康威视
2,2555,三七互娱
3,603444,吉比特
4,300136,信维通信
5,600298,安琪酵母
6,2127,南极电商
7,300003,乐普医疗
8,2179,中航光电
9,603369,今世缘
10,547,航天发展
11,2236,大华股份
12,2601,龙蟒佰利
13,2001,新和成
14,300316,晶盛机电
15,2223,鱼跃医疗
16,300463,迈克生物
17,603678,火炬电子
18,300770,新媒股份
19,2643,万润股份
20,300572,安车检测
21,688029,南微医学
22,300470,中密控股
23,2867,周大生
24,603606,东方电缆
25,2444,巨星科技
26,300394,天孚通信
27,2833,弘亚数控
28,300418,昆仑万维
29,300451,创业慧康
30,2925,盈趣科技
31,300776,帝尔激光
32,600352,浙江龙盛
33,2602,世纪华通
34,300607,拓斯达
35,300639,凯普生物
36,603589,口子窖
37,300702,天宇股份
38,2353,杰瑞股份
39,300206,理邦仪器
40,2677,浙江美大
41,600989,宝丰能源
42,2382,蓝帆医疗
43,603601,再升科技
44,603187,海容冷链
45,600167,联美控股
46,300326,凯利泰
47,300031,宝通科技
48,603700,宁水集团
49,300559,佳发教育
50,603,盛达资源
51,300487,蓝晓科技
52,600025,华能水电
53,2947,恒铭达
54,582,北部湾港
55,2233,塔牌集团
56,300035,中科电气
57,2912,中新赛克
58,600848,上海临港
59,2463,沪电股份
60,2777,久远银海
61,300452,山河药辅
62,603060,国检集团
63,2810,山东赫达
64,300427,红相股份
65,603208,江山欧派
66,2399,海普瑞
67,601216,君正集团
68,603599,广信股份
69,300587,天铁股份
70,300684,中石科技
71,603786,科博达
72,600211,西藏药业
73,672,上峰水泥
74,2626,金达威
75,300497,富祥药业
76,603568,伟明环保
77,603238,诺邦股份
78,688300,联瑞新材
79,688299,长阳科技
80,603155,新亚强
81,600702,ST舍得
82,300016,北陆药业
83,300259,新天科技
84,300236,上海新阳
85,601016,节能风电
86,2749,国光股份
87,603387,基蛋生物
88,688020,方邦股份
89,300692,中环环保
90,600603,广汇物流
91,2226,江南化工
92,300349,金卡智能
93,603505,金石资源
94,300481,濮阳惠成
95,603040,新坐标
96,300590,移为通信
97,300773,拉卡拉
98,300786,国林科技
99,2942,新农股份
100,2956,西麦食品
101,688100,威胜信息
102,600382,广东明珠
103,2020,京新药业
104,300095,华伍股份
105,300200,高盟新材
106,300192,科德教育
107,2698,博实股份
108,2832,比音勒芬
109,603538,美诺华
110,300690,双一科技
111,601330,绿色动力
112,300634,彩讯股份
113,603516,淳中科技
114,300594,朗进科技
115,688181,八亿时空
116,688550,瑞联新材
117,600639,浦东金桥
118,544,中原环保
119,2549,凯美特气
120,2838,道恩股份
121,603817,海峡环保
122,2869,金溢科技
123,601619,嘉泽新能
124,300732,设研院
125,300753,爱朋医疗
126,300802,矩子科技
127,688358,祥生医疗
128,922,佳电股份
129,300137,先河环保
130,2605,姚记科技
131,300263,隆华科技
132,785,居然之家
133,603309,维力医疗
134,300552,万集科技
135,603203,快克股份
136,603811,诚意药业
137,603360,百傲化学
138,300758,七彩化学
139,688288,鸿泉物联
140,688086,紫晶存储
141,688357,建龙微纳
142,601827,三峰环境
143,2984,森麒麟
144,600503,华丽家族
145,2222,福晶科技
146,2243,通产丽星
147,600731,湖南海利
148,2632,道明光学
149,300401,花园生物
150,300371,汇中股份
151,300384,三联虹普
152,300445,康斯特
153,2755,奥赛康
154,603797,联泰环保
155,603357,设计总院
156,688089,嘉必优
157,603466,风语筑
158,300771,智莱科技
159,603327,福蓉科技
160,688080,映翰通
161,605336,帅丰电器
162,655,金岭矿业
163,300286,安科瑞
164,2724,海洋王
165,300417,南华仪器
166,603088,宁波精达
167,300488,恒锋工具
168,603682,锦和商业
169,603896,寿仙谷
170,2883,中设股份
171,603848,好太太
172,603931,格林达
173,300179,四方达
174,2432,九安医疗
175,300820,英杰电气
176,2621,美吉姆
177,2802,洪汇新材
178,603383,顶点软件
179,603300,华铁应急
180,688078,龙软科技
181,300800,力合科技
182,603657,春光科技
183,300811,铂科新材
184,688178,万德斯
185,688555,泽达易盛
186,300873,海晨股份
187,2107,沃华医药
188,2801,微光股份
189,300480,光力科技
190,300606,金太阳
191,300632,光莆股份
192,2907,华森制药
193,603607,京华激光
194,2978,安宁股份
195,2931,锋龙股份
196,300778,新城市
197,300789,唐源电气
198,688096,京源环保
199,300867,圣元环保
200,300878,维康药业
201,688569,铁科轨道
202,688513,苑东生物
203,3008,开普检测
